section,metric,scope,as_at,value,unit,pct_of_working_827k,pct_of_peak_923k,verified,method,source,note
4_STANDING_PILE,invoiced/transferred but truck NOT gone — MEASURED,BH-BT + BH-PF,2026-08-01 opening,467089,litres,,,TRUE,"every OINV+OWTR doc out of BH-BT/BH-PF with DocDate<=2026-07-31, joined by DocNum to the UNION of both exit doors; standing = dispatched_at NULL or >= 2026-08-01","factory gate-core sales-dispatch (938 docnums) + warehouse bst-list (371 docnums), ZERO overlap; HANA OINV/INV1/OWTR/WTR1","114 docs: 110 invoices + 4 transfers. BH-BT 316,867 L / BH-PF 150,222 L. MEASURED per document — no median lag applied."
4_STANDING_PILE,of which dated 31 July (the month-end spike),BH-BT + BH-PF,2026-08-01 opening,422771,litres,,,TRUE,"subset of the above, DocDate=2026-07-31",as above,"99 documents. 31 July billed 102 invoices / 289,007 pcs out of these two godowns — the spike the brief warned about."
4_STANDING_PILE,truck-docking check on the 31-Jul pile,customer door,2026-08-01,84 of 84 docked on/after 1 Aug,documents,,,TRUE,docked_at from gate-core sales-dispatch,factory app,"Not one had been loaded by 1 Aug — some docked as late as 13 Aug. So the goods really were still inside the plant, NOT sitting on a truck. The pile is commercially real."
4_STANDING_PILE,backdating check (double-count risk),31-Jul invoices,2026-08-01,ZERO backdating,,,,TRUE,OINV.DocDate vs OINV.CreateDate vs OINM.DocDate vs OINM.CreateDate for every 31-Jul invoice at BH-BT/BH-PF,HANA OINV/OINM,"All four dates equal 2026-07-31. So the book really did drop the stock on 31 Jul and the pile is NOT already counted in the 461,225. Double-counting is REFUTED."
4_STANDING_PILE,UNKNOWN — no gate record at all,BH-BT + BH-PF Jun-Jul docs,2026-08-01,175852,litres,,,TRUE,documents whose DocNum appears in neither exit door,HANA + factory app,"75 docs (34 June, 41 July). EXCLUDED from the pile rather than assumed gone or standing. Litre gate-match rate Jun-Jul = 92.3%. If any were standing the pile is LARGER, which makes the additive model below even more impossible."
5_ANSWER,ADDITIVE model (book + standing) — REFUTED,BH-BT + BH-PF,2026-08-01 opening,928314,litres,112.3,100.6,TRUE,"461,225 + 467,089, per C-0054",HANA + factory app,"IMPOSSIBLE: 100.6% of the ABSOLUTE 923,000 L pallet peak. Tested across all 62 days Jul-Aug, this model breaches the peak on exactly 2 days — and 1 AUGUST IS ONE OF THEM (the other is 23 Aug at 105.0%). You cannot exceed a fixed pallet grid. At least part of the pile was not in rack positions."
5_ANSWER,the three prior readings,1 Aug,2026-08-01,748806 sim / 461225 SAP / 42.4% WMS,,,,TRUE,reconciliation,brief + this study,"SIM 748,806 L WRONG (a 30-Aug figure used as 1-Aug opening; overstates by 287,581 L). SAP 461,225 L CONFIRMED. WMS 42.4% WRONG FOR THIS DATE (a ~30-Aug reading of a system that went live 31 Jul; the 1-Aug value is 2.6%)."
5_ANSWER,HOW FULL WAS THE GODOWN,BH-BT + BH-PF,2026-08-01 morning,461225,litres,55.8,50.0,TRUE,"book on hand, rewound; the only figure that is both measured and internally consistent",HANA OITW/OINM/OITM,"ROUGHLY HALF FULL. 55.8% of the 827,000 L working ceiling, 50.0% of the 923,000 L peak."
5_ANSWER,how full — per godown,BH-BT,2026-08-01 morning,238794,litres,,,TRUE,"book rewind vs 450,000 working / 502,000 peak",HANA,"53.1% of working, 47.6% of peak. 211,206 L of room."
5_ANSWER,how full — per godown,BH-PF,2026-08-01 morning,222431,litres,,,TRUE,"book rewind vs 377,000 working / 421,000 peak",HANA,"59.0% of working, 52.8% of peak. 154,569 L of room."
5_ANSWER,ROOM AVAILABLE,BH-BT + BH-PF,2026-08-01 morning,365775,litres,,,TRUE,"827,000 - 461,225",HANA + sheet,"365,775 L free against the working ceiling; 461,775 L against the peak. The simulator believed there were only 78,194 L — it understated the room by 4.7x."
5_ANSWER,the standing pile drains,BH-BT + BH-PF,2026-08-01 to 2026-08-06,467089 -> 280204,litres,,,TRUE,same measured method applied to each morning,HANA + factory app,"Even on the most pessimistic reading, the pile is SOLD goods with trucks already coming: it fell 40% in five days. It cannot block a month of production."
5_ANSWER,CONFIDENCE,the half-full conclusion,2026-08-01,"HIGH on 461,225; MEDIUM-HIGH on 'roughly half full'",,,,,,,"461,225 is HIGH: it reproduces the mandated spot-check convention to 4 dp, has zero negative rewind rows, and parses 99.9% of pieces to litres. 'Roughly half full' is MEDIUM-HIGH: the residual uncertainty is exactly WHERE the 467,089 L standing pile physically sat, and no system records that. Physics caps 1-Aug occupancy at 923,000 L, so the true answer is between 50% and 100% of peak, and the book is the only self-consistent point in that range."
5_ANSWER,WAS STORAGE THE BINDING CONSTRAINT,1 Aug,2026-08-01 morning,NO,,,,TRUE,"365,775 L of working headroom on the morning in question",this study,"The owner's instinct is right. On 1 August the godown was about half full with at least 365,775 L of room. Whatever held the plant to 45%, it was not finished-goods storage."
