change,why,engine_file,severity,evidence_endpoint
"Add a QC availability lag of 0.25 day on arriving bulk oil (3 days for a p90 buffer) and ZERO yield loss on it. Separately, apply a 3.86% lot-rejection haircut to incoming PACKAGING deliveries.","Bulk oil clears the lab in a median 5.8 hours and has never once been rejected — 0 of 119 lots since the module went live. So no quarantine, no yield haircut. Packaging is different: 51 of 1,327 packaging deliveries were rejected outright (HDPE 5 L bottles 16, 5 L caps 15, labels 13), which is a delivery-reliability haircut on top of the existing gap list.",engine/sep_gap.py,medium,"GET /quality-control/inspections/ (1,454 rows, JIVO_OIL), /quality-control/inspections/rejected/ (51), /quality-control/arrival-slips/ (1,494)"
"Do NOT model line clearance as a cost or a gate. Add nothing.","Worth stating so nobody adds it later. The app records no physical clearance duration at all — only when the form was created and when QA clicked approve (median 20.7 min of paperwork latency). It has never failed: 202 of 216 CLEARED, zero 'NO' answers across 1,944 checkpoint responses, the only non-YES being 8 blank forms marked NA. It is a compliance record, not a constraint.",engine/day_plan.py,low,"GET /production-execution/line-clearance/ (216) and /line-clearance/{id}/ (9 checkpoints each)"
"Cost the shift decision. Rs 650 per worker per day x 18 workers per line: 4 lines = Rs 12.17 L/month, 5 lines = Rs 15.21 L/month, 6 lines = Rs 18.25 L/month (26 days). Labour is NOT the constraint — but a second shift makes the storage problem worse, not better, so it must be traded against the ceiling, not against demand.","reference/PLAN-AND-LINES.md says 'the engine must CHOOSE the shift pattern' and gives it no cost to choose with. Now it has one, and the answer is that labour is a rounding error against Rs 8.48 Cr of blocked value. The real reason not to add a shift in September is that there is nowhere to put the extra litres.",engine/month_plan.py,medium,"GET /production-execution/cost-rates/ (LABOUR / PER_DAY / Rs 650, global scope), /production-execution/runs/{id}/resources/labour/ and /runs/{id}/ labour_count (136 Aug runs, median and mode 18)"
"Reserve ZERO hours for planned maintenance. Deduct the measured breakdown allowance per line per month instead: 6 Head 7.24 h, JP Machine 7.08 h, Clear Pack 6.52 h, Pouch 3.34 h, 10 Head 1.70 h, Tin Head 0.","There are no PM plans in the system at all — 0 plans, 0 executions, 0 spares, 1 inactive asset — so there is no maintenance schedule to work around. Availability is 97.5%; total plant breakdown time is 25.9 h/month. Breakdowns are NOT the capacity gap; the gap is speed.",engine/month_plan.py,medium,"GET /maintenance/pm-plans/ (0), /maintenance/work-orders/ (13, none on a filling line), /production-execution/runs/{id}/breakdowns/ (56 events, 3,106 min)"
"Net sales returns off the production requirement. ~152,052 L/month comes back into Oil FG godowns and re-enters sellable stock with no quarantine and no QC re-inspection. Use ~42,851 L/month if the planner is scoped to Oil alone (the rest is intercompany). Heaviest returners: COLD PRESS 1 L, POMACE OLIVE 1 L, MUSTARD KACHI GHANI 1 L round, SANO POMACE OLIVE 1 L.","Returns are not lost production — they are stock arriving in the same godown the plan is trying to fill, at ~18% of Oil's working FG capacity per month. They belong on BOTH sides of the ledger: subtract them from what must be made, and add them to what must be stored.",engine/requirement.py,medium,"SAP HANA ORIN/RIN1 Apr-Aug 2026 JIVO_OIL (574 credit notes, 507,742 pcs); the factory app holds NO sales returns at all"
"Put the BH-BT capacity discrepancy to the owner rather than silently picking a side. His sheet says 628 pallet positions / 502 T. The floor's own rack map says 739 barcoded finished-goods cells. And observed loading is ~1,557 L per occupied position against the sheet's 800 L/pallet constant.","Three routes give three answers for the same basement: 92% full (SAP litres vs the 450 T working figure), 70% full (SAP litres vs 739 positions x 800 L), 36% full (266 of 739 positions with a pallet on them). The 36% is the one to distrust — the WMS rack map accounts for only 57.7% of the pieces SAP says are in BH-BT, so 473 free positions is an upper bound. Do not quote it as headroom.",reference/STORAGE-CAPACITY.md,high,"GET /wms/wms-locations/ + /wms/wms-pallets/ + /wms/wms-cell-purposes/ (JIVO_OIL, re-verified live 2026-08-30 12:26 UTC: 739 FG cells, 266 occupied) vs reference/STORAGE-CAPACITY.md"
"Get a pallet count for BH-PF from a person. It holds 250,263 L and 122,414 active barcoded cartons — 87% of all Oil's live cartons — and NO system anywhere records its capacity. The 377 T working figure the engine would use is a 89.6% haircut derived from BH-BT's ratio, not a measured ceiling.","This is the single most important number missing, and it is a question for the plant, not something to invent. BH-PF has no WMS rack grid, no cells, no maxPallets. Same question for GP-FG. The factory app records physical capacity for exactly one Oil godown out of ~46, and it is not the one that matters most.",reference/STORAGE-CAPACITY.md,high,"GET /wms/wms-warehouses/ (JIVO_OIL = 1 warehouse, BH-BT only), GET /dashboards/stock/?warehouse=BH-PF, GET /barcode/boxes/?warehouse=BH-PF&status=ACTIVE"
"Read the monthly plan from SAP's forecast register (OFCT/FCT1), not from EXIM alone. September is AbsID 44, 84 lines, 4,323,036 L against EXIM's 4,323,300 L — 0.01% apart, the same document keyed twice. OFCT carries 25 monthly forecasts back to Nov-2024.","reference/PLANNING-MODEL.md records the seasonal-uplift method as 'NOT BUILT' because there was no plan history to measure against. There is: OFCT AbsID 13 is September 2025. Plan-versus-actual for the same month last year — the measured multiplier the owner asked for — is now one join away.",engine/forecast.py,medium,"SAP HANA OFCT/FCT1 JIVO_OIL_HANADB (25 forecasts); GET /planning-purchase/plans/44/ as the factory app's copy (still on the August forecast, 28 days stale)"
"Add filling cost to the allocator: Rs 1.50/L for commodities and Rs 3.50/L for canola and olive. It is not full COGS, but it is the first real per-litre conversion cost the profit ranking has ever had.","reference/PLANNING-MODEL.md flags that ranking on realisation alone maximises REVENUE, not profit, and records COGS as HTTP-403 blocked. These two SAP resource rates are readable today and they differ by Rs 2.00/L between the premium and commodity halves of the range — which is material when premium already earns Rs 39.74/L more.",engine/allocate.py,medium,"SAP resources JWPL09240002 'Filling Cost Commodities' and JWPL09240001 'FILLING COST CANOLA AND OLIVE', surfaced by GET /supply-chain/live-trail/"
"Never quote the factory app's supply-chain headline. GET /supply-chain/dashboard/ returns plan_is_feasible=true, needs_ordering_today=0, lines_over_capacity=0 — all four are vacuous.","266 of 294 materials have no lead time (so order-by can never fire), machines=0 (so the capacity check has nothing to check), floor_convention verdict=INDETERMINATE on all 294 rows, and required_by was still 2026-08-01 on 30 August. Anyone reading that screen this week is being told September is fine when September has not been loaded.",engine/sep_gap.py,low,"GET /supply-chain/dashboard/ , /supply-chain/monitored-skus/ (empty), /supply-chain/reference/lead-times/ (empty), /supply-chain/reference/machines/ (empty)"
