line,config,pack_size,units_per_hour,std_hours_day,std_hours_month,sku_map_present,source
Linear 6 Head Machine,rated,2 L,1080,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx: 18 BPM x 60 - DISAGREES with app (app says 720)"
Linear 6 Head Machine,rated,5 L,660,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx: 11 BPM x 60 - DISAGREES with app (app says 600)"
Linear 10 Head Machine,rated,1 L,1980,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx: 33 BPM x 60 - DISAGREES with app (app says 2100)"
Linear 10 Head Machine,rated,2 L,1260,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx: 21 BPM x 60 - AGREES with app"
Linear 10 Head Machine,rated,5 L,600,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx: 10 BPM x 60 - DISAGREES with app (app says 900)"
Clearpack Netfiller,rated,1 L,4800,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx: 80 BPM x 60 - AGREES with app"
Clearpack Netfiller,rated,5 L,3000,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx: 50 BPM x 60 - AGREES with app"
Tin Line,rated,13 L,480,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx: 8 BPM x 60 - no app config to compare; CONFLICTS with Daman 240/hr"
Tin Line,rated,15 L,480,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx: 8 BPM x 60 - no app config to compare; CONFLICTS with Daman 240/hr"
Pouch Old,rated,1 L pouch,1800,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx: 30 BPM x 60 - AGREES with app config named 'Hitech'"
Pouch New - Samarpan,rated,1 L pouch,2400,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx: 40 BPM x 60 - AGREES with app config named 'Samarpan'"
J P Filler,rated,1 L,5400,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx: 90 BPM x 60 - AGREES with app"
10 Head,LINE SETTINGS,ALL,,22,572,no,"ji.jivo.in /production-execution/lines/ - IDENTICAL on all 7 lines, reads as a template default; electricity units/hour blank"
6 Head,LINE SETTINGS,ALL,,22,572,no,"ji.jivo.in /production-execution/lines/ - IDENTICAL on all 7 lines, reads as a template default; electricity units/hour blank"
Clear Pack,LINE SETTINGS,ALL,,22,572,no,"ji.jivo.in /production-execution/lines/ - IDENTICAL on all 7 lines, reads as a template default; electricity units/hour blank"
JP Machine,LINE SETTINGS,ALL,,22,572,no,"ji.jivo.in /production-execution/lines/ - IDENTICAL on all 7 lines, reads as a template default; electricity units/hour blank"
Pouch Machine,LINE SETTINGS,ALL,,22,572,no,"ji.jivo.in /production-execution/lines/ - IDENTICAL on all 7 lines, reads as a template default; electricity units/hour blank"
Tin Head,LINE SETTINGS,ALL,,22,572,no,"ji.jivo.in /production-execution/lines/ - IDENTICAL on all 7 lines, reads as a template default; electricity units/hour blank"
Manual,LINE SETTINGS,ALL,,22,572,no,"ji.jivo.in /production-execution/lines/ - IDENTICAL on all 7 lines, reads as a template default; electricity units/hour blank"
(none),NO LINE CONFIGURED,3 L,,,,no,"August plan FINAL (2) needs 10667 pcs / 32000 L across 4 SKUs. 6 Head has RUN 3 LTR (run history) but has NO 3 L standard in app or xlsx"
(none),NO LINE CONFIGURED,500 ML,,,,no,"August plan FINAL (2) needs 47000 pcs / 23500 L across 9 SKUs. No line, no rated speed anywhere. Plan Sheet2 marks 500 ML 'Machine Pending'"
(none),NO LINE CONFIGURED,250 ML,,,,no,"August plan FINAL (2) needs 6000 pcs / 1500 L across 2 SKUs. No line, no rated speed anywhere"
(none),NO LINE CONFIGURED,200 ML,,,,no,"August plan FINAL (2) needs 157500 pcs / 31500 L across 4 SKUs. No line, no rated speed anywhere. Plan Sheet2 marks 200 ML 'Machine Pending'"
(none),NO LINE CONFIGURED,100 ML,,,,no,"August plan FINAL (2) needs 10000 pcs / 1000 L across 2 SKUs. No line, no rated speed anywhere"
(none),NO LINE CONFIGURED,5 L TIN,,,,no,"August plan needs 54200 pcs. Tin Line xlsx covers only 13 L and 15 L; unclear whether 5 L tins run Tin Line, Clear Pack or 6 Head"
(none),NO LINE CONFIGURED,3 L TIN,,,,no,"August plan needs 3000 pcs. Tin Line xlsx covers only 13 L and 15 L"
SAP ORSC (all 3 companies),NOT A MACHINE MASTER,n/a,,,,no,"VERIFIED 2026-08-29 via HANA: JIVO_OIL_HANADB.ORSC = 7 rows, all COST resources (FILLING COST CANOLA AND OLIVE, Filling Cost Commodities, FILLING COST RS 2/-PER LITRE, FILLING COST GIFT PACK, PET BOTTLE BLOWING CONVERSION COST, TEA JOB WORK, OIL FILLING JOB WORK). Zero physical lines. RSC6 weekday capacity NULL on all 49 rows. ORSG = untouched SAP defaults. OITM has no line/machine user field. OWOR.U_UNE_MLOC NULL on all 8390 orders. WOR1 resource lines (6114) point only at those cost resources"
