question,area,subject,company,metric,value,unit,status,evidence,source,as_of
Q1 location,Gupta grid,GUPTA-GODOWN (Mart),JIVO_MART,grid size,"1,600",cells (40x40x1),VERIFIED,"SAP code recorded on the grid is BH-GPM, which is NOT a Mart warehouse code (the real one is GP-FGM)",GET /wms/warehouses/ --company JIVO_MART,2026-08-30T22:30 IST
Q1 location,Gupta grid,GUPTA-GODOWN (Mart),JIVO_MART,declared stock-holding cells,528,cells,VERIFIED,FINISHED-GOODS 480 + GOODS-RETURN 48,GET /wms/locations/ + /wms/cellPurposes/,2026-08-30T22:30 IST
Q1 location,Gupta grid,GUPTA-GODOWN (Mart),JIVO_MART,declared stock cells occupied,525 of 528 = 99.4%,%,VERIFIED,the declared racking is effectively full,GET /wms/locations/ + /wms/pallets/,2026-08-30T22:30 IST
Q1 location,Gupta grid,cells whose purposeId resolves to nothing,JIVO_MART,unclassified cells,"780 of 1,600 = 48.8%",cells,VERIFIED,"698 ACTIVE pallets - 56% of all Gupta pallets - are standing in cells with no defined purpose, i.e. off the map",GET /wms/locations/ + /wms/pallets/,2026-08-30T22:30 IST
Q1 location,Gupta grid,GUPTA-GODOWN (Mart),JIVO_MART,cells over the 1-pallet capacity,37,cells,VERIFIED,"1,243 active pallets in 1,202 cells",GET /wms/pallets/,2026-08-30T22:30 IST
Q1 location,SAP side,SAP B1 bin-location module,ALL 3,OBIN rows / warehouses with DftBinEnfd='Y',0 / 0,rows,VERIFIED,"bin management is switched OFF in all three company databases; SAP knows only the warehouse code, never a position inside it","HANA: OBIN, OITW.DftBinEnfd",2026-08-30T22:30 IST
Q1 location,Book vs map,BH-BT: SAP book vs WMS pallet map,JIVO_OIL,SAP OITW book (FG only),"273,852 pcs / 414,078 L",pcs / L,VERIFIED,item group 102 only; litres parsed from SKU name by engine/plan_units.py,HANA OITW + OITM,2026-08-30T22:30 IST
Q1 location,Book vs map,BH-BT: SAP book vs WMS pallet map,JIVO_OIL,WMS pallet map,"157,942 pcs / 283,230 L",pcs / L,VERIFIED,every ACTIVE-pallet inventory row on the grid,GET /wms/inventory/ + /wms/pallets/,2026-08-30T22:30 IST
Q1 location,Book vs map,BH-BT: SAP book vs WMS pallet map,JIVO_OIL,divergence,"115,910 pcs = 42.3% of book / 130,848 L",pcs / L,VERIFIED,"98 items carry book stock at BH-BT with NO pallet anywhere on the map; 4 items have pallets on the map with no book stock. The gap runs BOTH ways per item (COLD PRESS 1 LTR: map 43,480 vs book 12,348; POMACE OLIVE 1 LTR: book 31,869 vs map 2,880) so it is not simply an incomplete map",HANA OITW vs GET /wms/inventory/,2026-08-30T22:30 IST
Q1 location,Book vs map,"BH-BT occupancy - three answers, same day",JIVO_OIL,book 92.0% / pallet map 62.9% / cells walked 36.0%,%,%,VERIFIED,"against the 450,000 L working ceiling: SAP book 414,078 L = 518 pallet-equivalents; WMS map 283,230 L = 354; cells actually occupied 266 of 739. Only the third can be checked by walking the floor",HANA OITW; GET /wms/*; reference/STORAGE-CAPACITY.md,2026-08-30T22:30 IST
Q2 ageing,Dead report,/dashboards/inventory-age/report/,ALL 3,HTTP status,404,http,VERIFIED,"route removed server-side. Tested with the correct Authorization AND Company-Code headers on Oil and Mart, plus filter-options and 5 path variants. The CLI's own help records it working at scrape time ('Verified: 1,445 of OIL's 2,418 rows'), so this is a regression, not a mis-call",curl GET /dashboards/inventory-age/report/,2026-08-30T22:30 IST
Q2 ageing,Dead report,/non-moving-rm/report/,ALL 3,HTTP status,502,http,VERIFIED,"{'detail':'SAP data error: Failed to retrieve non-moving RM data from SAP.'} for every item_group (102,105,106,107,109,111-115) and every age (30/90/180/365) on all three companies",curl GET /non-moving-rm/report/,2026-08-30T22:30 IST
Q2 ageing,Live substitute,dashboards/stock days_since_last_consumption,JIVO_OIL,is it a per-location age?,NO - item-level,-,VERIFIED,"0 of 2,287 items show a different days_since_last_consumption across the 19 warehouses pulled. The same number is stamped on every warehouse row, so it cannot tell you how long stock has sat in a given godown",GET /dashboards/stock/ per warehouse,2026-08-30T22:30 IST
Q2 ageing,Pallet age,BH-BT stock age from the pallet licence plate (PLT-YYYYMMDD-),JIVO_OIL,0-14d / 15-30d / 31-60d / 61-90d,"33,852 L / 89,976 L / 38,832 L / 40,050 L",L,VERIFIED,"331 pallet inventory rows, 202,710 L total. pallet.createdAt is useless as an age (the WMS went live 2026-07-31, so every record is <=30 days); the licence plate carries the real build date",GET /wms/pallets/ + /wms/inventory/,2026-08-30T22:30 IST
Q2 ageing,Pallet age,BH-BT pallets 60 days or older,JIVO_OIL,oldest stock still standing,"50 pallets / 40,050 L / 50 pallet positions",pallets,VERIFIED,"61-88 days old, almost all MUSTARD KACCHI GHANI 5 LTR 4 PCS on lots L4 001116 and L4 007394; 6.8% of the 739 FG cells",GET /wms/pallets/ + /wms/inventory/,2026-08-30T22:30 IST
Q2 ageing,Expiry,expiryDate on WMS pallets,JIVO_OIL,pallets carrying an expiry date,0 of 334,pallets,VERIFIED,not one pallet on the grid has an expiry date,GET /wms/pallets/,2026-08-30T22:30 IST
Q2 ageing,Expiry,expiryDate on WMS inventory rows,JIVO_OIL,rows carrying an expiry date,102 of 433 = 23.6%,rows,VERIFIED,"and ALL 102 are rows with palletId = null, i.e. loose stock. Every single palletised row (331) has no expiry. Expiry dates run 2028-05 to 2028-08 (~24-month shelf life)",GET /wms/inventory/,2026-08-30T22:30 IST
Q2 ageing,Expiry,expiryDate on Mart/Gupta pallets,JIVO_MART,pallets carrying an expiry date,"45 of 1,247 = 3.6%",pallets,VERIFIED,"the same 45 rows carry it in /wms/inventory/; the other 1,202 pallets on the Gupta grid have no expiry at all",GET /wms/pallets/ --company JIVO_MART,2026-08-30T22:30 IST
Q2 ageing,Expiry,SAP batch master OBTN,JIVO_OIL,batches with an ExpDate,"6,455 of 18,195 = 35%",batches,VERIFIED,"of the 841 batches still carrying an open balance, only 356 (42%) have an expiry date",HANA OBTN,2026-08-30T22:30 IST
Q2 ageing,Expiry,SAP item master shelf life,JIVO_OIL,items with U_Shelflife set,"7 of 1,929 inventory items",items,VERIFIED,value '2' on all 7. Shelf life is essentially unrecorded in SAP,HANA OITM,2026-08-30T22:30 IST
Q2 ageing,FEFO,SAP issue method on batch-managed items,JIVO_OIL,IssueMthd,MANUAL on all 619 batch-managed items,items,VERIFIED,IssueMthd='M' (manual) on 619 batch items + 647 non-batch; 'B' (FIFO) only on 663 non-batch items. SAP will not pick the oldest batch for any batch-managed FG - a person chooses,HANA OITM.IssueMthd/ManBtchNum,2026-08-30T22:30 IST
Q2 ageing,FEFO,app-side FEFO enforcement,JIVO_OIL,mechanism present,NONE,-,VERIFIED,"no expiry on pallets, no singleLotOnly, no zones, no allocation strategy, no reservation, no pick rules. FEFO cannot be enforced by the app because nothing to enforce it with exists","GET /wms/locations/, /wms/pallets/",2026-08-30T22:30 IST
Q2 ageing,FEFO,observed picking behaviour,JIVO_OIL,picks that skipped an older pallet of the same item,19 of 21 testable = 90.5%,picks,PLAUSIBLE (small sample),"median skipped pallet was 57 days older, max 58. Only 21 of 215 outbound movements are testable because the /wms/pallets/ endpoint drops a pallet once it ships, so the roster is biased to what is still on the floor",GET /wms/movements/ + /wms/pallets/,2026-08-30T22:30 IST
Q3 min-max,Coverage,"min_stock benchmark, Oil",JIVO_OIL,item x warehouse rows with a benchmark,"147 flagged of 127,893 = 0.11%",rows,VERIFIED,"64 critical + 16 low + 67 healthy. 17,149 rows are 'unset', the remaining 110,597 'none'",GET /dashboards/stock/?status=critical|low|healthy|unset,2026-08-30T22:30 IST
Q3 min-max,Coverage,"min_stock benchmark, Mart",JIVO_MART,rows with a benchmark,0,rows,VERIFIED,"0 critical, 0 low, 0 healthy - Mart has no reorder level anywhere",GET /dashboards/stock/?status=...,2026-08-30T22:30 IST
Q3 min-max,Coverage,"min_stock benchmark, Beverages",JIVO_BEVERAGES,rows with a benchmark,43,rows,VERIFIED,7 critical + 5 low + 31 healthy,GET /dashboards/stock/?status=...,2026-08-30T22:30 IST
Q3 min-max,Source,what drives min_stock / health_ratio / stock_status,JIVO_OIL,source field,"SAP OITW.MinStock, read straight through",-,VERIFIED,"HANA OITW.MinStock is non-zero on exactly 205 rows and the app returns exactly 205 rows with a benchmark; the split (204 at BH-PM, 1 at BH-PF) matches too. health_ratio = on_hand / min_stock; stock_status thresholds that ratio",HANA OITW vs GET /dashboards/stock/,2026-08-30T22:30 IST
Q3 min-max,Scope,which items and which godown carry a benchmark,JIVO_OIL,concentration,204 of 205 are PACKAGING at BH-PM,rows,VERIFIED,every benchmarked item code starts PM. Not one FINISHED-GOODS item and not one raw oil item has a reorder level in any godown,HANA OITW + GET /dashboards/stock/,2026-08-30T22:30 IST
Q3 min-max,Maintenance,OITW.MaxStock (the 'max' half),JIVO_OIL,rows set,"1 of 128,085",rows,VERIFIED,"PM0000391 at BH-PM, and that row has OnHand 0 and MinStock 0 - a stray, not a policy",HANA OITW,2026-08-30T22:30 IST
Q3 min-max,Maintenance,SAP reorder machinery,JIVO_OIL,ReorderPnt / ReorderQty / LeadTime set,0 / 0 / 0 items,items,VERIFIED,"OITM.MinLevel is set on 265 items and MaxLevel on 1. With no reorder point, no reorder quantity and no lead time, SAP's MRP cannot raise a single planned order",HANA OITM,2026-08-30T22:30 IST
Q3 min-max,Data quality,"the 64 CRITICAL flags, reality-checked against every godown",JIVO_OIL,flags that are FALSE,37 of 64 = 58%,flags,VERIFIED,"the benchmark sits on BH-PM but the stock physically sits elsewhere. Worst: PM0000594 PREFORM 40 GMS min 200,000, BH-PM shows 0 -> CRITICAL, live godowns hold 607,647. PM0000235 CAPS 1 LTR min 300,000, live godowns hold 605,639",GET /dashboards/stock/?search=<item> across all 58 warehouses,2026-08-30T22:30 IST
Q3 min-max,Data quality,the 64 CRITICAL flags - the genuinely short ones,JIVO_OIL,flags that are REAL,27 of 64,flags,VERIFIED,worst by cover: PM0000309 POUCH 1 LTR MUSTARD 0% of min; PM0000186 HDPE 5 LTR OLIVE GREEN 0%; PM0000195 PET BOTTLE 1 LTR 52 GMS GREEN 0%; PM0000054 PET BOTTLE 1 LTR 23.8 GMS 3.1%; PM0000075 TAPE LOGO PRINTED 16.0%,GET /dashboards/stock/ + HANA OITW,2026-08-30T22:30 IST
Q3 min-max,Data quality,where the missing packaging actually is,JIVO_OIL,critical items with stock parked in dead/frozen godowns,64 of 64,flags,VERIFIED,"every one of the 64 has quantity sitting in BH-NM, GP-NM, BH-PP, BH-WST or BH-OT. PM0000075 alone has 1,240,810 pcs parked there against a 150,000 min and 24,020 live",HANA OITW by warehouse,2026-08-30T22:30 IST
Q4 non-moving,FG space,BH-BT: stock that has NEVER shipped out of this godown,JIVO_OIL,dead space,"59 SKUs / 35,052 pcs / 41,803 L / 52 pallet positions / Rs 70.22 lakh",L,VERIFIED,"9.3% of the 450,000 L working ceiling and 7.0% of the 739 FG cells. Median 25 days since it arrived. CAVEAT: BH-BT itself only opened 2026-07-22, so nothing there can be older than ~39 days - read this as slow, not yet as dead",HANA OINM (last OutQty per item x warehouse) + OITW,2026-08-30T22:30 IST
Q4 non-moving,FG space,BH-BT: shipped in the last 30 days,JIVO_OIL,working stock,"55 SKUs / 370,493 L / 463 pallet positions / 82.3% of ceiling",L,VERIFIED,the working stock,HANA OINM + OITW,2026-08-30T22:30 IST
Q4 non-moving,FG space,BH-PF: non-moving,JIVO_OIL,dead space,"2 SKUs / 1,556 L / 2 pallet positions / Rs 4.69 lakh",L,VERIFIED,"BH-PF is clean - 66.0% of its 377,000 L ceiling is stock that shipped inside 30 days",HANA OINM + OITW,2026-08-30T22:30 IST
Q4 non-moving,FG space,GP-FG (Oil's corner of Gupta): non-moving,JIVO_OIL,dead SKU share,13 of 24 SKUs have not shipped in 60+ days,SKUs,VERIFIED,"1,118 L / Rs 5.56 lakh; 3 SKUs at 180d+ have been in stock a median 291 days. Small in litres but it is over half the SKU count in that godown",HANA OINM + OITW,2026-08-30T22:30 IST
Q4 non-moving,PM space,BH-NM Bhakharpur Non-Moving,JIVO_OIL,holdings,"46 SKUs / 1,035,827 units / Rs 6.29 lakh",units,VERIFIED,"of which 27 SKUs / 141,849 units / Rs 2.09 lakh have had no issue in 180 days",HANA OINM + OITW,2026-08-30T22:30 IST
Q4 non-moving,PM space,GP-NM Gupta Non-Moving,JIVO_OIL,holdings,"301 SKUs / 1,586,172 units / Rs 15.05 lakh",units,VERIFIED,"of which 229 SKUs / 1,360,056 units / Rs 11.57 lakh have had no issue in 180 days",HANA OINM + OITW,2026-08-30T22:30 IST
Q4 non-moving,PM space,"BH-PP (SAP-inactive, Daman ruled IGNORE 2026-08-29)",JIVO_OIL,holdings,"557 SKUs / 5,023,302 units / Rs 115.65 lakh",units,VERIFIED,every single SKU has had no issue in 180 days. Listed for completeness only - it is out of scope by Daman's ruling,HANA OINM + OITW,2026-08-30T22:30 IST
Q4 non-moving,PM space,BH-WST Wastage,JIVO_OIL,holdings,"380 SKUs / 527,069 units / Rs 57.60 lakh",units,VERIFIED,"130 SKUs / Rs 27.20 lakh untouched 180d+. Never counted as stock, but it does occupy floor",HANA OINM + OITW,2026-08-30T22:30 IST
Q4 non-moving,PM space,can non-moving PM be converted to square feet or pallets?,JIVO_OIL,answer,NO,-,VERIFIED,"Daman's own rule (STORAGE-CAPACITY.md): a godown with no tonnage figure is a packaging godown, and the 0.8 T/pallet FG constant must not be borrowed. There is no pallet count for the 38,900 sq.ft of PM space, so no capacity % is computable for BH-NM / GP-NM / BH-BS / BH-PM",reference/STORAGE-CAPACITY.md,2026-08-30T22:30 IST
Q4 non-moving,Behaviour,"the non-moving godowns are being used as OVERFLOW, not as a graveyard",JIVO_OIL,churn,"2.03 M units pushed in, 947 k pulled back out in 90 days",units,VERIFIED,"BH-PC->GP-NM 1,020,227 and BH-PC->BH-NM 1,014,045 (both late Jul/Aug); back out GP-NM->BH-PM 265,065, GP-NM->BH-PC 161,636, BH-NM->BH-PC 1,352,457, BH-NM->BH-BS 286,809. They are a buffer, so 'clear the non-moving godown' would be taking away somebody's overflow","HANA OWTR + WTR1, 90 days",2026-08-30T22:30 IST
Q5 transfers,Route,BH-PF -> BH-BT (the live FG overflow route),JIVO_OIL,volume,"63 SAP transfer docs / 639,574 units in 90 days",docs,VERIFIED,"first document 2026-07-22, latest 2026-08-30 - it started the day BH-BT opened",HANA OWTR + WTR1,2026-08-30T22:30 IST
Q5 transfers,Route,BH-PF -> GP-FG (the old overflow route),JIVO_OIL,volume,"185 docs / 946,895 units, STOPPED 2026-07-23",docs,VERIFIED,"BH-PF->BH-EC (72 docs / 749,966) stopped the same week. BH-BT replaced both",HANA OWTR + WTR1,2026-08-30T22:30 IST
Q5 transfers,Lead time,"physical lead time, gate-out to receipt (BST)",JIVO_OIL,lead time,"median 1.5 h, p75 8 h, p90 651 h",hours,VERIFIED,"351 of 379 BSTs have both timestamps. 286 land same-day, but 49 take more than 7 days. Created->dispatched is a median 1.0 h","GET /warehouse/bst/ (379 rows, 2026-07-03..08-30)",2026-08-30T22:30 IST
Q5 transfers,Lead time,so: can BH-PF overflow into BH-BT quickly?,JIVO_OIL,answer,YES - about 1.5 hours when it works,hours,VERIFIED,"the route is live, high-volume and fast. GP-FG is the alternative but the route has been dark since 23 July and GP-FGM (the big Gupta capacity) is committed to Mart",GET /warehouse/bst/ + HANA OWTR,2026-08-30T22:30 IST
Q5 transfers,Stuck stock,BSTs open right now,JIVO_OIL,open transfers,18 of 379,BSTs,VERIFIED,"11 of them dispatched more than 100 hours ago. Worst: BST-20260722-0004, 2,011 boxes, PARTIALLY_RECEIVED, dispatched 922 h (38 days) ago; BST-20260819-0003, 4,536 boxes, 276 h. 13,774 scanned boxes are off the source book and not yet on the destination book",GET /warehouse/bst/,2026-08-30T22:30 IST
Q5 transfers,Short shipments,partial-transfer reconciliations ever raised,JIVO_OIL,count,5,requests,VERIFIED,"all APPROVED, all raised by Charanjeet Singh. Shortfalls 1 to 2,331 units, reasons all 'leakage' or 'short stock'",GET /warehouse/bst/partial-transfers/,2026-08-30T22:30 IST
Q5 transfers,Short shipments,an operator describing C-0054 in his own words,JIVO_OIL,shortfall,"BST-20260819-0003, short 2,331 of 60,569",units,VERIFIED,reason field: 'Reason shorted stock leakage & Mustard Kachhi Ghani 1Ltr 20pcs yeh stock neeche chala gaya hai lekin ismein show nahi ho raha kyunki us din APP band hone ke kaaran ismein se delete ho gaya tha' - the stock physically went downstairs but the system does not show it,GET /warehouse/bst/partial-transfers/,2026-08-30T22:30 IST
Q5 transfers,Workflow,the app's own transfer-request approval workflow,JIVO_OIL,usage,"3 requests, ever",requests,VERIFIED,"TR-20260827-0001/2/3, all created on 2026-08-27 by 'IT Team', all BH-BS<->BH-PM. Pending and in-transit queues are both empty. The feature is built and tested but is not in production use - real transfers go through BST or straight SAP",GET /warehouse/transfer-requests/,2026-08-30T22:30 IST
Q6 counting,SAP,inventory counting documents (OINC/INC1),ALL 3,documents ever,0,documents,VERIFIED,"OINC=0 and INC1=0 in JIVO_OIL_HANADB, JIVO_MART_HANADB and JIVO_BEVERAGES_HANADB. OIQI and OIQR (inventory posting / opening balance) are also 0","HANA OINC, INC1, OIQI, OIQR",2026-08-30T22:30 IST
Q6 counting,SAP,OITW.WasCounted = 'Y',ALL 3,item x warehouse rows ever counted,"0 of 128,085 (Oil), 0 of 65,797 (Mart), 0 of 95,387 (Bev)",rows,VERIFIED,not one item in one warehouse in any company has ever been marked counted. The books have never been reconciled to the floor inside SAP,HANA OITW,2026-08-30T22:30 IST
Q6 counting,App,barcode pallet verification requests,JIVO_OIL,requests ever,2,requests,VERIFIED,"id 1 (PLT-20260711-XX-006, SANO MUSTARD 1 LTR) CANCELLED after finding 40 missing pieces; id 2 (PLT-20260720-XX-170, SO OLIVE 5 LTR) RESOLVED with 0 missing. Both raised by the 'Barcode' service account. Mart: 0",GET /barcode/verify-requests/,2026-08-30T22:30 IST
Q6 counting,App,the only physical-verification event in the WMS movement log,JIVO_OIL,events,6 adjustments on one day,movements,VERIFIED,"2026-08-06, Bhupinder Singh, note 'Removed from map - bin was empty' x6 (FG0000142 x3, FG0000070 x2, FG0000043). That is the whole of physical verification in 30 days and 764 movements",GET /wms/movements/ (type=ADJUSTMENT),2026-08-30T22:30 IST
Q6 counting,App,voids as the de-facto correction channel,JIVO_OIL,volume,"204 pallets and 8,234 boxes voided",records,VERIFIED,"voiding is how a wrong record gets removed. It is a deletion, not a count - it produces no book-vs-physical variance figure","GET /barcode/voids/pallets/, /barcode/voids/boxes/",2026-08-30T22:30 IST
C-0054,Structure,does SAP have a state between 'on the floor' and 'sold'?,JIVO_OIL,answer,NO,-,VERIFIED,"of 3,591 A/R invoice lines in the last 90 days, 3,314 (92.3%, 4,614,733 pcs) are based directly on a SALES ORDER and only 23 lines (0.6%) on a Delivery. Deliveries: 40 in 90 days, last one 2026-08-01. Pick lists: 0 in 90 days. The invoice IS the stock-out event, so SAP cannot represent goods that are invoiced and still standing in the godown","HANA INV1.BaseType, ODLN, OPKL",2026-08-30T22:30 IST
C-0054,Measured,how long after its last invoice does a truck actually leave?,JIVO_OIL,gate lag,"median 1 day, mean 2.8, p75 3, p90 7, max 17",days,VERIFIED,"120 DISPATCHED gate entries sampled, measured from the LATEST invoice date on the truck to dispatched_at. 10 same-day, 51 next day, 29 of 120 took 4 or more days. Measured from the EARLIEST invoice on the truck the median is 4 days and the max 55",GET /gate-core/sales-dispatch/?status=DISPATCHED + detail,2026-08-30T22:30 IST
C-0054,Measured,A/R invoiced out of the FG godowns,JIVO_OIL,throughput,"120,324 L/day (BH-BT 24,931 + BH-PF 75,237 + GP-FG 20,157)",L/day,VERIFIED,"30 days to 2026-08-30, cancelled excluded, litres from the SKU name",HANA OINV + INV1 + OITM,2026-08-30T22:30 IST
C-0054,Implication,how much of the book's 'free space' is already invoiced stock,JIVO_OIL,correction,"roughly 100,000 L of the 162,659 L called free",L,INFERRED,"Little's Law on BH-BT + BH-PF only: 100,167 L/day x 1-day median wait. At the 2.8-day MEAN it would be 280,000 L, which exceeds the whole free-space figure - so either not all invoiced volume physically rests in these two godowns (some is invoiced straight off the line at BH-PF) or the 827,000 L ceiling / 664,341 L occupancy pair needs revisiting. Treat 100,000 L as the floor of the correction, not the answer",derived: HANA invoice volume x measured gate lag,2026-08-30T22:30 IST
C-0054,Warning,an endpoint that looks like the answer and is not,JIVO_OIL,trap,/gate-core/sales-dispatch/documents/ is NOT a not-yet-dispatched queue,-,VERIFIED,"invoice 626080609 was gated out on DOCK-20260830-0004 at 12:59 today and is still returned by that endpoint. It is a document lookup, so its 2,267 rows / 5.38 M L for Jul-Aug must NOT be read as a dispatch backlog",GET /gate-core/sales-dispatch/documents/?search=626080609 vs /gate-core/sales-dispatch/1359/,2026-08-30T22:30 IST
