SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	DISP_DOCS	DISP_VAL_L	EXT_DISP_DOCS	EXT_DISP_VAL_L	NAMED_PCT	LR_PCT	VEH_PCT	DRIVER_PCT	FILLED	FILL_PCT	VARIANTS	VENDOR_CODE	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP	NOTE
MONTH	2025-09	Dispatches in 2025-09	5	1393	1481.07	1390	1471.38	0	0	0	0	NULL	NULL	0	NULL	NULL	46	19.12	1.3	NULL
MONTH	2025-10	Dispatches in 2025-10	5	1437	1418.11	1437	1418.11	0	0	0	0	NULL	NULL	0	NULL	NULL	32	9.29	0.7	NULL
MONTH	2025-11	Dispatches in 2025-11	5	1233	1242.49	1232	1242.37	0	0	0	0	NULL	NULL	0	NULL	NULL	32	8.99	0.7	NULL
MONTH	2025-12	Dispatches in 2025-12	5	1178	1410.42	1177	1407.22	0	0	0	0.1	NULL	NULL	0	NULL	NULL	58	25.88	1.8	NULL
MONTH	2026-01	Dispatches in 2026-01	5	1013	1429.43	1012	1429.43	0	0	0	0	NULL	NULL	0	NULL	NULL	37	9.81	0.7	NULL
MONTH	2026-02	Dispatches in 2026-02	5	904	1374.55	904	1374.55	0	0	0	0	NULL	NULL	0	NULL	NULL	19	10.1	0.7	NULL
MONTH	2026-03	Dispatches in 2026-03	5	777	2209.29	724	1496.67	0	0.1	0.1	0.1	NULL	NULL	1	NULL	NULL	48	30.96	1.4	NULL
MONTH	2026-04	Dispatches in 2026-04	5	1017	1863.97	1017	1863.97	2.4	5.5	5.4	0.2	NULL	NULL	8	NULL	NULL	25	10.46	0.6	NULL
MONTH	2026-05	Dispatches in 2026-05	5	985	2163.21	973	2163.21	17.8	29.3	30.3	0	NULL	NULL	14	NULL	NULL	36	17.74	0.8	NULL
MONTH	2026-06	Dispatches in 2026-06	5	1293	2603.88	1262	2409.66	14.5	19.9	20.1	0	NULL	NULL	14	NULL	NULL	46	26.68	1	NULL
MONTH	2026-07	Dispatches in 2026-07	5	869	2560.06	835	2560.06	16.6	25.3	25.8	0	NULL	NULL	16	NULL	NULL	47	25.7	1	NULL
MONTH	2026-08	Dispatches in 2026-08	5	431	1679.89	420	1679.89	25.5	36.4	36.4	0	NULL	NULL	12	NULL	NULL	8	2.13	0.1	NULL
TRANSPORTER	ABHIMANEXPR	ABHIMAN EXPRESS	6	211	2181.7	210	2181.7	NULL	100	100	0	2	NULL	3	VENDA001019	ABHIMAN EXPRESS	26	40.95	1.9	spellings: ABHIMAN EXPRESS | Abhiman Expr | Abhiman Express
TRANSPORTER	ARNAVTRANSPORT	Arnav Transport	6	83	788.11	74	788.11	NULL	100	100	0	1	NULL	1	VENDA000935	ARNAV TRANSPORT SERVICE	59	13.74	1.7	spellings: Arnav Transport
TRANSPORTER	DELHIPUNJAB	Delhi Punjab	6	62	480.47	62	480.47	NULL	100	100	0	1	NULL	1	VENDA000636	DELHI PUNJAB TRANSPORT CO	16	8.11	1.7	2 vendor cards merged here; spellings: Delhi Punjab
TRANSPORTER	BHARGAVEROADCARRIER	Bhargave Road Carrier	6	32	470.79	31	470.79	NULL	96.9	100	0	1	NULL	1	VENDA001011	BHARGAVE ROAD CARRIER	8	2.43	0.5	spellings: Bhargave Road Carrier
TRANSPORTER	MAHAVEERTRANSPORT	Mahaveer Transport	6	66	350.02	59	350.02	NULL	100	100	0	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: Mahaveer Transport
TRANSPORTER	AMAZONVEHICLEPICKUP	Amazon vehicle pickup	6	41	325.8	41	325.8	NULL	90.2	100	0	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: Amazon vehicle pickup
TRANSPORTER	BOMBEYSRINAGAR	Bombey Sri Nagar	6	34	264.95	34	264.95	NULL	100	100	0	1	NULL	2	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: Bombey Sri Nagar | Bombey Srinagar
TRANSPORTER	PICKSHIP	PICK & SHIP	6	83	225.77	83	225.77	NULL	100	100	0	1	NULL	3	VENDA001018	PICK & SHIP LOGISTICS PRIVATE LIMITED	46	14.55	6.4	spellings: PICK & SHIP | Pick & Ship | pick & ship
TRANSPORTER	RCMLOGISTICS	RCM Logistics	6	7	71.32	7	71.32	NULL	100	100	0	1	NULL	1	VENDA001009	RCM LOGISTICS	8	2.43	3.4	spellings: RCM Logistics
TRANSPORTER	AIRTRANS	Air Trans	6	2	49.28	2	49.28	NULL	100	100	0	1	NULL	1	VENDA000400	AIR TRANS	1	0.59	1.2	spellings: Air Trans
TRANSPORTER	BOMBAYSRINAGAR	Bombay Sri Nagar	6	5	43.92	5	43.92	NULL	100	100	0	1	NULL	1	VENDA000579	BOMBAY SRINAGAR TRANSPORT REGD	30	17.75	40.4	spellings: Bombay Sri Nagar
TRANSPORTER	MAHADEVTEMPO	Mahadev Tempo	6	6	32.15	6	32.15	NULL	100	100	0	1	NULL	1	VENDA000269	MAHADEV TEMPO SERVICE	19	4.97	15.5	spellings: Mahadev Tempo
TRANSPORTER	9896437186	9896437186	6	1	17.95	1	17.95	NULL	100	100	0	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: 9896437186
TRANSPORTER	HR55AK6402	HR55Ak6402	6	1	14.49	1	14.49	NULL	100	100	0	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: HR55Ak6402
TRANSPORTER	MEHTATRANSPORT	MEHTA TRANSPORT	6	3	14.31	3	14.31	NULL	100	100	0	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: MEHTA TRANSPORT
TRANSPORTER	9958007610	9958007610	6	1	3.79	1	3.79	NULL	100	100	0	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: 9958007610
TRANSPORTER	6006399745	6006399745	6	1	3.06	1	3.06	NULL	100	100	0	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: 6006399745
TRANSPORTER	ARNAV	ARNAV	6	1	0.01	1	0.01	NULL	100	100	100	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: ARNAV
FREIGHT_VENDOR	VENDA000962	OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000962	OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	96	76.29	NULL	PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000055	OM LOGISTICS LTD	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000055	OM LOGISTICS LTD	68	51.04	NULL	PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA001019	ABHIMAN EXPRESS	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA001019	ABHIMAN EXPRESS	26	40.95	NULL	ships under transporter family "ABHIMANEXPR"
FREIGHT_VENDOR	VENDA000407	GURU NANAK TRANSPORT SERVICE	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000407	GURU NANAK TRANSPORT SERVICE	27	19.12	NULL	PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000579	BOMBAY SRINAGAR TRANSPORT REGD	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000579	BOMBAY SRINAGAR TRANSPORT REGD	30	17.75	NULL	ships under transporter family "BOMBAYSRINAGAR"
FREIGHT_VENDOR	VENDA001018	PICK & SHIP LOGISTICS PRIVATE LIMITED	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA001018	PICK & SHIP LOGISTICS PRIVATE LIMITED	46	14.55	NULL	ships under transporter family "PICKSHIP"
FREIGHT_VENDOR	VENDA000935	ARNAV TRANSPORT SERVICE	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000935	ARNAV TRANSPORT SERVICE	59	13.74	NULL	ships under transporter family "ARNAVTRANSPORT"
FREIGHT_VENDOR	VENDA000930	TRUEX LOGISTIC SERVICES PRIVATE LIMITED	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000930	TRUEX LOGISTIC SERVICES PRIVATE LIMITED	16	12.64	NULL	PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000502	SURINDER SINGH KALSI  FREIGHT	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000502	SURINDER SINGH KALSI  FREIGHT	33	10.06	NULL	OUTSIDE the transporter group -- filed under "SERVICE", pulled in on the carrier token in its name; PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000936	GODAMWALE TRADING AND LOGISTICS PRIVATE LIMITED	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000936	GODAMWALE TRADING AND LOGISTICS PRIVATE LIMITED	19	9.15	NULL	OUTSIDE the transporter group -- filed under "SERVICE", pulled in on the carrier token in its name; PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000636	DELHI PUNJAB TRANSPORT CO	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000636	DELHI PUNJAB TRANSPORT CO	16	8.11	NULL	ships under transporter family "DELHIPUNJAB"
FREIGHT_VENDOR	VENDA000979	HARE KRISHNA	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000979	HARE KRISHNA	22	7.98	NULL	PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000269	MAHADEV TEMPO SERVICE	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000269	MAHADEV TEMPO SERVICE	19	4.97	NULL	ships under transporter family "MAHADEVTEMPO"
FREIGHT_VENDOR	VENDA000333	GATI EXPRESS & SUPPLY CHAIN PRIVATE LIMITED AADCG2096A	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000333	GATI EXPRESS & SUPPLY CHAIN PRIVATE LIMITED AADCG2096A	10	4.48	NULL	OUTSIDE the transporter group -- filed under "SERVICE", pulled in on the carrier token in its name; PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000088	ABC EXPRESS	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000088	ABC EXPRESS	11	3.93	NULL	PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA001020	PRIYA ROAD CARRIERS	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA001020	PRIYA ROAD CARRIERS	3	3.18	NULL	OUTSIDE the transporter group -- filed under "SERVICE", pulled in on the carrier token in its name; PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA001010	MAHAVIR TRANSPORT	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA001010	MAHAVIR TRANSPORT	16	2.95	NULL	PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000531	SMARTSHIFT LOGISTICS SOLUTIONS PVT LTD	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000531	SMARTSHIFT LOGISTICS SOLUTIONS PVT LTD	28	2.63	NULL	PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA001011	BHARGAVE ROAD CARRIER	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA001011	BHARGAVE ROAD CARRIER	8	2.43	NULL	OUTSIDE the transporter group -- filed under "SERVICE", pulled in on the carrier token in its name; ships under transporter family "BHARGAVEROADCARRIER"
FREIGHT_VENDOR	VENDA001009	RCM LOGISTICS	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA001009	RCM LOGISTICS	8	2.43	NULL	OUTSIDE the transporter group -- filed under "SERVICE", pulled in on the carrier token in its name; ships under transporter family "RCMLOGISTICS"
FREIGHT_VENDOR	VENDA000939	ETHICS EXPRESS PRIVATE LIMITED	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000939	ETHICS EXPRESS PRIVATE LIMITED	4	1.94	NULL	PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA001002	ROHIT CARGO MOVERS (P) LTD	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA001002	ROHIT CARGO MOVERS (P) LTD	7	1.9	NULL	OUTSIDE the transporter group -- filed under "SERVICE", pulled in on the carrier token in its name; PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000503	PALAK TANKER TRANSPORT COMPANY	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000503	PALAK TANKER TRANSPORT COMPANY	3	1.61	NULL	PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000973	BLUE LINE EXPRESS CARGO	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000973	BLUE LINE EXPRESS CARGO	1	1.52	NULL	PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000990	VIP TRANSPORT COMPANY	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000990	VIP TRANSPORT COMPANY	2	1.18	NULL	PAID BUT NEVER NAMED ON A DISPATCH
