group	section	host	path	methods	classification	const	evidence
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/product/ajax/FeePreview.ajax	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/product/ajax/MarketplaceListingEvent.ajax	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/m/products/edit	GET	UNKNOWN	mobileEditWorkflow	READ-shaped but path has a write-verb segment — denied per guardrail (G1)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/spsx/ajax/checkSellerQualification	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/spsx/ajax/getAttributesNormalizedValues	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/spsx/ajax/getContributionScope	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/spsx/ajax/getFBAEligibilityAndRecommendation	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/syh/DisplayCondition	?	UNKNOWN	mobileSYHWorkflow	verb and posture not proven (G1: denied)
seller	Product-Classification	sellercentral.amazon.in	/certification/1x1certification	?	UNKNOWN	source	verb and posture not proven (G1: denied)
seller	Product-Classification	sellercentral.amazon.in	/handmade/productclassify	?	UNKNOWN	legacyHandmadeProductClassify	verb and posture not proven (G1: denied)
seller	Product-Classification	sellercentral.amazon.in	/hz/manage-your-category/	?	UNKNOWN	manageYourCategory	verb and posture not proven (G1: denied)
seller	Product-Classification	sellercentral.amazon.in	/hz/productclassify	?	UNKNOWN	legacyProductClassify	verb and posture not proven (G1: denied)
seller	Product-Classification	sellercentral.amazon.in	/productclassify/api	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Product-Classification	sellercentral.amazon.in	/productclassify/api/browse-nodes	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Product-Classification	sellercentral.amazon.in	/productclassify/api/pt-search	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Product-Classification	sellercentral.amazon.in	/productsearch/v2/search	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Product-Classification	sellercentral.amazon.in	/productsearch/valuesuggestions	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
vendor	VC-Support-Help	sellercentral.amazon.in	/hz/vendor/	?	UNKNOWN		verb and posture not proven (G1: denied)
vendor	VC-Support-Help	sellercentral.amazon.in	/hz/vendor/members/help/embed/training/widget/layout/{param}/tags/{param}	?	UNKNOWN	source	verb and posture not proven (G1: denied)
vendor	VC-Support-Help	sellercentral.amazon.in	/hz/vendor/members/products/details	?	UNKNOWN	firstPartyOneByOnePage	verb and posture not proven (G1: denied)
vendor	VC-Support-Help	sellercentral.amazon.in	/hz/vendor/members/products/mycatalog	?	UNKNOWN		verb and posture not proven (G1: denied)
vendor	VC-Support-Help	sellercentral.amazon.in	/hz/vendor/members/products/prismo/api/getcsrftoken	?	UNKNOWN	firstPartyOneByOnePageCsrfToken	verb and posture not proven (G1: denied)
vendor	VC-Support-Help	sellercentral.amazon.in	/hz/vendor/members/support/help/node/{helpGuid}	?	UNKNOWN	FIRST_PARTY	verb and posture not proven (G1: denied)
vendor	VC-Support-Help	sellercentral.amazon.in	/hz/vendor/{param}/help/embed/{param}	?	UNKNOWN	source	verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/mons/weblabs	GET	NOISE	weblabPath	telemetry/instrumentation/weblab — not a business data endpoint
platform	Help-Support-Center	sellercentral.amazon.in	/mons/weblabs/	?	NOISE	url	telemetry/instrumentation/weblab — not a business data endpoint
platform	Help-Support-Center	sellercentral.amazon.in	/mons/weblabs/merchant/treatment	GET	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
platform	Help-Support-Center	sellercentral.amazon.in	/mons/weblabs/merchant/trigger	POST	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
platform	Help-Support-Center	sellercentral.amazon.in	/mons/weblabs/vendor/treatment	GET	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
platform	Homepage-Casino-Widgets	sellercentral.amazon.in	/homepage/knowhere/events/record	?	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
platform	Platform-Common	sellercentral.amazon.in	/1/batch/1/OE/	?	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
platform	Platform-Common	sellercentral.amazon.in	/1/remote-weblab-triggers/1/OE/	?	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
platform	Platform-Common	sellercentral.amazon.in	/ping	?	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
platform	Platform-Common	sellercentral.amazon.in	/spl/logger	?	NOISE	url	telemetry/instrumentation/weblab — not a business data endpoint
platform	Platform-Common	sellercentral.amazon.in	/tricorder/decide/	POST	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
platform	Platform-Common	sellercentral.amazon.in	/tricorder/e/	POST	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
platform	Platform-Common	sellercentral.amazon.in	/tricorder/logger	?	NOISE	url	telemetry/instrumentation/weblab — not a business data endpoint
platform	Platform-Common	unagi.amazon.in	/1/events/com.amazon.csm.csa.prod	POST	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
platform	Platform-Common	unagi.amazon.in	/1/events/com.amazon.csm.customsg.prod	POST	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
platform	Platform-Common	unagi.amazon.in	/1/events/com.amazon.csm.nexusclient.prod	POST	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
platform	Static-Assets-i18n	m.media-amazon.com	/images/G/01/csm/showads.v2.js	GET	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
seller	Business-Reports-Analytics	sellercentral.amazon.in	/br-insights-widget-logger	?	NOISE	url	telemetry/instrumentation/weblab — not a business data endpoint
seller	Business-Reports-Analytics	sellercentral.amazon.in	/business-reports-app-logger	?	NOISE	url	telemetry/instrumentation/weblab — not a business data endpoint
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/weblabs/all	GET	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/logs	?	NOISE	url	telemetry/instrumentation/weblab — not a business data endpoint
seller	Messaging-Buyer-Seller	sellercentral.amazon.in	/messaging/api/global/weblab	GET	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
seller	Messaging-Buyer-Seller	sellercentral.amazon.in	/messaging/api/global/weblab/v2	GET	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
seller	Messaging-Buyer-Seller	sellercentral.amazon.in	/messaging/api/weblab/marketplace	GET	NOISE		telemetry/instrumentation/weblab — not a business data endpoint
